,notebook,cell_id,lineno,end_lineno,col_offset,end_col_offset,type,type_details,output_type,effect_type,code
34,hmwk01.ipynb,50,9,9,14,65,Call1,dropna,internal,enforcing,"df.dropna(subset=[""STATE"", ""D"", ""GENERAL PERCENT""])"
35,hmwk01.ipynb,50,9,9,14,72,Call1,copy,internal,checking,"df.dropna(subset=[""STATE"", ""D"", ""GENERAL PERCENT""]).copy()"
36,hmwk01.ipynb,50,12,12,8,29,Assign1,,internal,checking,row = dfClean.iloc[i]
37,hmwk01.ipynb,50,13,13,8,94,Assign2,,internal,enforcing,"row[""GENERAL PERCENT""] = np.float(row[""GENERAL PERCENT""].strip(""%"").replace("","", "".""))"
38,hmwk01.ipynb,50,13,13,42,93,Call1,replace,internal,enforcing,"row[""GENERAL PERCENT""].strip(""%"").replace("","", ""."")"
39,hmwk01.ipynb,50,14,14,11,43,Call1,isnull,internal,checking,"pd.isnull(row[""CANDIDATE NAME""])"
40,hmwk01.ipynb,50,15,15,15,54,Call1,isnull,internal,checking,"pd.isnull(row[""CANDIDATE NAME (Last)""])"
41,hmwk01.ipynb,50,16,16,16,49,Assign2,,internal,enforcing,"row[""CANDIDATE NAME""] = ""UNKNOWN"""
42,hmwk01.ipynb,50,18,18,16,68,Assign1,,internal,checking,"row[""CANDIDATE NAME""] = row[""CANDIDATE NAME (Last)""]"
43,hmwk01.ipynb,50,18,18,16,68,Assign2,,internal,enforcing,"row[""CANDIDATE NAME""] = row[""CANDIDATE NAME (Last)""]"
44,hmwk01.ipynb,50,20,20,4,74,Assign1,,internal,checking,"dfClean = dfClean[[""STATE"", ""D"", ""CANDIDATE NAME"", ""GENERAL PERCENT""]]"
45,hmwk01.ipynb,52,6,6,8,29,Assign1,,internal,checking,row = dfClean.iloc[i]
46,hmwk01.ipynb,52,7,7,8,89,Assign1,,internal,checking,"district = dfNew.loc[(dfNew[""STATE""] == row[""STATE""]) & (dfNew[""D""] == row[""D""])]"
47,hmwk01.ipynb,52,10,10,12,39,Assign1,,internal,checking,"dfRow = row[[""STATE"", ""D""]]"
48,hmwk01.ipynb,52,11,11,12,51,Assign1,,internal,checking,"dfRow[""WINNER""] = row[""CANDIDATE NAME""]"
49,hmwk01.ipynb,52,11,11,12,51,Assign2,,internal,enforcing,"dfRow[""WINNER""] = row[""CANDIDATE NAME""]"
50,hmwk01.ipynb,52,12,12,12,33,Assign2,,internal,enforcing,"dfRow[""MARGIN""] = 100"
51,hmwk01.ipynb,52,13,13,12,52,Assign2,,internal,enforcing,"dfRow[""WINPER""] = row[""GENERAL PERCENT""]"
52,hmwk01.ipynb,52,13,13,12,52,Assign1,,internal,checking,"dfRow[""WINPER""] = row[""GENERAL PERCENT""]"
53,hmwk01.ipynb,52,16,16,12,81,Assign1,,internal,checking,"(Margin, WinPer) = dfNew.loc[district.index[0], ['MARGIN', 'WINPER']]"
54,hmwk01.ipynb,52,18,18,16,79,Assign3,loc,internal,enforcing,"dfNew.loc[district.index[0], 'WINPER'] = row[""GENERAL PERCENT""]"
55,hmwk01.ipynb,52,18,18,16,79,Assign1,,internal,checking,"dfNew.loc[district.index[0], 'WINPER'] = row[""GENERAL PERCENT""]"
56,hmwk01.ipynb,52,20,20,16,88,Assign3,loc,internal,enforcing,"dfNew.loc[district.index[0], 'MARGIN'] = WinPer - row[""GENERAL PERCENT""]"
57,hmwk01.ipynb,52,22,22,12,42,Call1,sort_values,internal,enforcing,dfNew.sort_values(by='MARGIN')
58,hmwk01.ipynb,52,23,23,4,52,Call1,drop,internal,enforcing,"dfNew.drop(['WINPER'], axis = 1, inplace = True)"
59,customer_segments.ipynb,4,2,2,8,23,Call1,describe,revealing,checking,data.describe()
60,customer_segments.ipynb,6,2,2,18,29,Call1,mean,internal,checking,data.mean()
61,customer_segments.ipynb,9,2,2,18,32,Call1,copy,internal,checking,samples.copy()
62,customer_segments.ipynb,9,3,3,0,54,Assign2,,internal,enforcing,samples_w_total['Total'] = samples_w_total.sum(axis=1)
63,customer_segments.ipynb,9,5,5,0,60,Assign2,,internal,enforcing,samples_percentage['Total'] = samples_percentage.sum(axis=1)
64,customer_segments.ipynb,9,6,6,0,18,Expr1,,revealing,checking,samples_percentage
65,customer_segments.ipynb,13,2,2,11,22,Call1,copy,internal,checking,data.copy()
66,customer_segments.ipynb,13,4,4,8,46,Call1,drop,internal,enforcing,"new_data.drop(column_to_study, axis=1)"
67,customer_segments.ipynb,13,5,5,0,29,Assign1,,internal,checking,y_all = data[column_to_study]
68,customer_segments.ipynb,55,7,7,11,84,Call1,concat,internal,enforcing,"pd.concat([df_diffs, pd.Series(sample_preds, name='PREDICTION')], axis=1)"
69,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,3,2,2,7,24,Call2,columns,internal,checking,len(data.columns)
70,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,5,2,2,0,21,Assign2,,internal,enforcing,"data[""Margalef""] = """""
71,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,6,3,3,4,142,Assign3,loc,internal,enforcing,"data.loc[i,'Margalef'] = (len(data.iloc[i][4:last][data.iloc[i][4:last]>0])-1)/math.log(sum(data.iloc[i][4:last][data.iloc[i][4:last]>0]))"
72,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,6,3,3,34,78,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
73,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,6,3,3,96,140,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
74,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,8,2,2,11,33,Call1,unique,internal,checking,data.RiverSeg.unique()
75,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,9,2,2,0,29,Assign1,,internal,checking,"river = data.iloc[0][""River""]"
76,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,9,9,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
77,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,9,9,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
78,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,10,10,4,38,Assign1,,internal,checking,"segDF = segDF[segDF[""Margalef""]>0]"
79,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,10,10,12,38,Subscript1,,internal,enforcing,"segDF[segDF[""Margalef""]>0]"
80,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,13,13,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
81,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,15,15,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
82,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,10,16,16,4,25,Assign1,,internal,checking,"y = segDF[""Margalef""]"
83,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,11,2,2,0,18,Assign2,,internal,enforcing,"data[""SWI_2""] = """""
84,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,12,6,6,41,85,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
85,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,12,6,6,120,164,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
86,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,12,7,7,4,29,Assign3,loc,internal,enforcing,"data.loc[i,'SWI_2'] = swi"
87,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
88,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
89,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,9,9,4,35,Assign1,,internal,checking,"segDF = segDF[segDF[""SWI_2""]>0]"
90,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,9,9,12,35,Subscript1,,internal,enforcing,"segDF[segDF[""SWI_2""]>0]"
91,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
92,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
93,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,14,15,15,4,22,Assign1,,internal,checking,"y = segDF[""SWI_2""]"
94,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,15,2,2,0,18,Assign2,,internal,enforcing,"data[""SWI_e""] = """""
95,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,16,6,6,41,85,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
96,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,16,6,6,120,164,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
97,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,16,7,7,4,29,Assign3,loc,internal,enforcing,"data.loc[i,'SWI_e'] = swi"
98,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
99,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
100,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,9,9,4,35,Assign1,,internal,checking,"segDF = segDF[segDF[""SWI_e""]>0]"
101,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,9,9,12,35,Subscript1,,internal,enforcing,"segDF[segDF[""SWI_e""]>0]"
102,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
103,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
104,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,18,15,15,4,22,Assign1,,internal,checking,"y = segDF[""SWI_e""]"
105,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,19,2,2,0,19,Assign2,,internal,enforcing,"data[""SWI_10""] = """""
106,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,20,6,6,41,85,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
107,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,20,6,6,120,164,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
108,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,20,7,7,4,30,Assign3,loc,internal,enforcing,"data.loc[i,'SWI_10'] = swi"
109,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
110,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
111,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,9,9,4,36,Assign1,,internal,checking,"segDF = segDF[segDF[""SWI_10""]>0]"
112,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,9,9,12,36,Subscript1,,internal,enforcing,"segDF[segDF[""SWI_10""]>0]"
113,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
114,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
115,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,22,15,15,4,23,Assign1,,internal,checking,"y = segDF[""SWI_10""]"
116,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,23,2,2,0,16,Assign2,,internal,enforcing,"data[""lam""] = """""
117,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,24,11,11,4,27,Assign3,loc,internal,enforcing,"data.loc[i,'lam'] = lam"
118,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
119,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
120,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,9,9,4,33,Assign1,,internal,checking,"segDF = segDF[segDF[""lam""]>0]"
121,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,9,9,12,33,Subscript1,,internal,enforcing,"segDF[segDF[""lam""]>0]"
122,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
123,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
124,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,26,15,15,4,20,Assign1,,internal,checking,"y = segDF[""lam""]"
125,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,27,2,2,0,18,Assign2,,internal,enforcing,"data[""1-lam""] = """""
126,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,28,11,11,4,33,Assign3,loc,internal,enforcing,"data.loc[i,'1-lam'] = 1 - lam"
127,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
128,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
129,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,9,9,4,35,Assign1,,internal,checking,"segDF = segDF[segDF[""1-lam""]>0]"
130,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,9,9,12,35,Subscript1,,internal,enforcing,"segDF[segDF[""1-lam""]>0]"
131,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
132,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
133,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,30,15,15,4,22,Assign1,,internal,checking,"y = segDF[""1-lam""]"
134,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,31,2,2,0,17,Assign2,,internal,enforcing,"data[""lam'""] = """""
135,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,32,9,9,4,32,Assign1,,internal,checking,array = data.iloc[i][4:last]
136,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,32,14,14,4,28,Assign3,loc,internal,enforcing,"data.loc[i,""lam'""] = lam"
137,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
138,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
139,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,9,9,4,34,Assign1,,internal,checking,"segDF = segDF[segDF[""lam'""]>0]"
140,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,9,9,12,34,Subscript1,,internal,enforcing,"segDF[segDF[""lam'""]>0]"
141,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
142,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
143,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,34,15,15,4,21,Assign1,,internal,checking,"y = segDF[""lam'""]"
144,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,35,2,2,0,19,Assign2,,internal,enforcing,"data[""1-lam'""] = """""
145,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,36,9,9,4,32,Assign1,,internal,checking,array = data.iloc[i][4:last]
146,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,36,14,14,4,34,Assign3,loc,internal,enforcing,"data.loc[i,""1-lam'""] = 1 - lam"
147,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
148,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
149,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,9,9,4,34,Assign1,,internal,checking,"segDF = segDF[segDF[""lam'""]>0]"
150,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,9,9,12,34,Subscript1,,internal,enforcing,"segDF[segDF[""lam'""]>0]"
151,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,11,11,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
152,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,13,13,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
153,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,38,14,14,4,23,Assign1,,internal,checking,"y = segDF[""1-lam'""]"
154,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,39,1,1,0,15,Assign2,,internal,enforcing,"data[""N1""] = """""
155,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,40,6,6,40,84,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
156,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,40,6,6,119,163,Subscript1,,internal,enforcing,data.iloc[i][4:last][data.iloc[i][4:last]>0]
157,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,40,7,7,4,35,Assign3,loc,internal,enforcing,"data.loc[i,'N1'] = math.exp(N1)"
158,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
159,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
160,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,9,9,4,34,Assign1,,internal,checking,"segDF = segDF[segDF[""lam'""]>0]"
161,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,9,9,12,34,Subscript1,,internal,enforcing,"segDF[segDF[""lam'""]>0]"
162,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
163,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
164,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,42,15,15,4,19,Assign1,,internal,checking,"y = segDF[""N1""]"
165,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,43,2,2,0,15,Assign2,,internal,enforcing,"data[""N2""] = """""
166,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,44,11,11,4,28,Assign3,loc,internal,enforcing,"data.loc[i,'N2'] = 1/lam"
167,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,8,8,4,49,Assign1,,internal,checking,segDF = data.loc[data['RiverSeg'] == segment]
168,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,8,8,12,49,Subscript1,,internal,enforcing,data.loc[data['RiverSeg'] == segment]
169,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,9,9,4,34,Assign1,,internal,checking,"segDF = segDF[segDF[""lam'""]>0]"
170,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,9,9,12,34,Subscript1,,internal,enforcing,"segDF[segDF[""lam'""]>0]"
171,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,12,12,12,37,Call1,sort_values,internal,enforcing,segDF.sort_values('Year')
172,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb,46,14,14,4,21,Assign1,,internal,checking,"x = segDF[""Year""]"
